,language,bpe vocab limit,tokens_per_word
0,english,500,3.3216
1,english,500,3.179
2,english,500,3.2286
3,english,500,3.3134
4,english,500,3.2374
5,english,500,3.195
6,english,500,3.3122
7,english,500,3.178
8,english,500,3.2364
9,english,500,3.305
10,raramuri,500,5.6308
11,raramuri,500,5.4974
12,raramuri,500,5.5632
13,raramuri,500,5.6422
14,raramuri,500,5.5372
15,raramuri,500,5.7434
16,raramuri,500,5.5688
17,raramuri,500,5.563
18,raramuri,500,5.5184
19,raramuri,500,5.5274
20,nahuatl,500,4.3942
21,nahuatl,500,4.429
22,nahuatl,500,4.5218
23,nahuatl,500,4.3598
24,nahuatl,500,4.392
25,nahuatl,500,4.304
26,nahuatl,500,4.4126
27,nahuatl,500,4.2462
28,nahuatl,500,4.4104
29,nahuatl,500,4.4186
0,english,1000,2.9664
1,english,1000,2.9628
2,english,1000,3.0364
3,english,1000,2.9594
4,english,1000,3.0136
5,english,1000,3.0218
6,english,1000,3.0072
7,english,1000,3.0434
8,english,1000,2.9822
9,english,1000,3.1406
10,raramuri,1000,5.5466
11,raramuri,1000,5.5532
12,raramuri,1000,5.4862
13,raramuri,1000,5.6254
14,raramuri,1000,5.44
15,raramuri,1000,5.5648
16,raramuri,1000,5.6048
17,raramuri,1000,5.4622
18,raramuri,1000,5.4464
19,raramuri,1000,5.3164
20,nahuatl,1000,4.3618
21,nahuatl,1000,4.2468
22,nahuatl,1000,4.313
23,nahuatl,1000,4.4644
24,nahuatl,1000,4.2754
25,nahuatl,1000,3.9456
26,nahuatl,1000,4.2178
27,nahuatl,1000,4.2694
28,nahuatl,1000,4.1384
29,nahuatl,1000,4.354
0,english,5000,3.087
1,english,5000,3.0144
2,english,5000,2.9972
3,english,5000,3.019
4,english,5000,3.069
5,english,5000,3.0924
6,english,5000,3.074
7,english,5000,3.0764
8,english,5000,2.9296
9,english,5000,3.0218
10,raramuri,5000,5.2978
11,raramuri,5000,5.3338
12,raramuri,5000,5.429
13,raramuri,5000,5.4416
14,raramuri,5000,5.5252
15,raramuri,5000,5.5236
16,raramuri,5000,5.5376
17,raramuri,5000,5.6608
18,raramuri,5000,5.558
19,raramuri,5000,5.5342
20,nahuatl,5000,3.9556
21,nahuatl,5000,4.109
22,nahuatl,5000,4.171
23,nahuatl,5000,4.2148
24,nahuatl,5000,4.2402
25,nahuatl,5000,4.4572
26,nahuatl,5000,4.354
27,nahuatl,5000,4.3502
28,nahuatl,5000,4.3272
29,nahuatl,5000,4.3332
0,english,10000,3.0468
1,english,10000,2.9456
2,english,10000,3.1162
3,english,10000,3.0192
4,english,10000,2.9978
5,english,10000,2.9742
6,english,10000,3.0246
7,english,10000,3.0262
8,english,10000,2.9444
9,english,10000,2.9752
10,raramuri,10000,5.4798
11,raramuri,10000,5.5452
12,raramuri,10000,5.5116
13,raramuri,10000,5.5574
14,raramuri,10000,5.421
15,raramuri,10000,5.4696
16,raramuri,10000,5.4266
17,raramuri,10000,5.4882
18,raramuri,10000,5.4946
19,raramuri,10000,5.5808
20,nahuatl,10000,4.2158
21,nahuatl,10000,4.2412
22,nahuatl,10000,4.3422
23,nahuatl,10000,4.35
24,nahuatl,10000,4.3448
25,nahuatl,10000,4.2622
26,nahuatl,10000,4.1642
27,nahuatl,10000,4.3688
28,nahuatl,10000,4.3054
29,nahuatl,10000,4.0294
