language,bpe vocab limit,num tokens,num words,tokens : word
english,500,51025,10000,5.1025
english,500,49953,10000,4.9953
english,500,50881,10000,5.0881
english,500,50852,10000,5.0852
english,500,53229,10000,5.3229
english,500,51764,10000,5.1764
english,500,50126,10000,5.0126
english,500,49856,10000,4.9856
english,500,50546,10000,5.0546
english,1000,51025,10000,5.1025
english,1000,49953,10000,4.9953
english,1000,50881,10000,5.0881
english,1000,50852,10000,5.0852
english,1000,53229,10000,5.3229
english,1000,51764,10000,5.1764
english,1000,50126,10000,5.0126
english,1000,49856,10000,4.9856
english,1000,50546,10000,5.0546
english,5000,51025,10000,5.1025
english,5000,49953,10000,4.9953
english,5000,50881,10000,5.0881
english,5000,50852,10000,5.0852
english,5000,53229,10000,5.3229
english,5000,51764,10000,5.1764
english,5000,50126,10000,5.0126
english,5000,49856,10000,4.9856
english,5000,50546,10000,5.0546
english,10000,51025,10000,5.1025
english,10000,49953,10000,4.9953
english,10000,50881,10000,5.0881
english,10000,50852,10000,5.0852
english,10000,53229,10000,5.3229
english,10000,51764,10000,5.1764
english,10000,50126,10000,5.0126
english,10000,49856,10000,4.9856
english,10000,50546,10000,5.0546
raramuri,500,78248,10000,7.8248
raramuri,500,80093,10000,8.0093
raramuri,500,79945,10000,7.9945
raramuri,500,80542,10000,8.0542
raramuri,500,77371,10000,7.7371
raramuri,500,77589,10000,7.7589
raramuri,500,79527,10000,7.9527
raramuri,500,78606,10000,7.8606
raramuri,500,79395,10000,7.9395
raramuri,1000,78248,10000,7.8248
raramuri,1000,80093,10000,8.0093
raramuri,1000,79945,10000,7.9945
raramuri,1000,80542,10000,8.0542
raramuri,1000,77371,10000,7.7371
raramuri,1000,77589,10000,7.7589
raramuri,1000,79527,10000,7.9527
raramuri,1000,78606,10000,7.8606
raramuri,1000,79395,10000,7.9395
raramuri,5000,78248,10000,7.8248
raramuri,5000,80093,10000,8.0093
raramuri,5000,79945,10000,7.9945
raramuri,5000,80542,10000,8.0542
raramuri,5000,77371,10000,7.7371
raramuri,5000,77589,10000,7.7589
raramuri,5000,79527,10000,7.9527
raramuri,5000,78606,10000,7.8606
raramuri,5000,79395,10000,7.9395
raramuri,10000,78248,10000,7.8248
raramuri,10000,80093,10000,8.0093
raramuri,10000,79945,10000,7.9945
raramuri,10000,80542,10000,8.0542
raramuri,10000,77371,10000,7.7371
raramuri,10000,77589,10000,7.7589
raramuri,10000,79527,10000,7.9527
raramuri,10000,78606,10000,7.8606
raramuri,10000,79395,10000,7.9395
nahuatl,500,73853,10000,7.3853
nahuatl,500,75835,10000,7.5835
nahuatl,500,75224,10000,7.5224
nahuatl,500,76856,10000,7.6856
nahuatl,500,76676,10000,7.6676
nahuatl,500,77425,10000,7.7425
nahuatl,500,76823,10000,7.6823
nahuatl,500,74976,10000,7.4976
nahuatl,500,76665,10000,7.6665
nahuatl,1000,73853,10000,7.3853
nahuatl,1000,75835,10000,7.5835
nahuatl,1000,75224,10000,7.5224
nahuatl,1000,76856,10000,7.6856
nahuatl,1000,76676,10000,7.6676
nahuatl,1000,77425,10000,7.7425
nahuatl,1000,76823,10000,7.6823
nahuatl,1000,74976,10000,7.4976
nahuatl,1000,76665,10000,7.6665
nahuatl,5000,73853,10000,7.3853
nahuatl,5000,75835,10000,7.5835
nahuatl,5000,75224,10000,7.5224
nahuatl,5000,76856,10000,7.6856
nahuatl,5000,76676,10000,7.6676
nahuatl,5000,77425,10000,7.7425
nahuatl,5000,76823,10000,7.6823
nahuatl,5000,74976,10000,7.4976
nahuatl,5000,76665,10000,7.6665
nahuatl,10000,73853,10000,7.3853
nahuatl,10000,75835,10000,7.5835
nahuatl,10000,75224,10000,7.5224
nahuatl,10000,76856,10000,7.6856
nahuatl,10000,76676,10000,7.6676
nahuatl,10000,77425,10000,7.7425
nahuatl,10000,76823,10000,7.6823
nahuatl,10000,74976,10000,7.4976
nahuatl,10000,76665,10000,7.6665
